Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
2	22102704	1	6	Notebook	1	1.1	1	100.0	0.552	2.599	28.138	25.539
2	22102704	2	17	Drone	1	26.7	1	45.0	28.640	29.696	43.810	14.114
2	22102704	3	7	Coffee Mug	1	3.8	1	81.0	44.312	46.957	64.288	17.331
2	22102704	4	14	Frying Pan	1	19.6	1	75.0	64.790	65.770	87.020	21.249
2	22102704	5	23	Ruler	2	0.4	1	95.0	87.521	89.907	100.341	10.434
2	22102704	6	31	Water Filter Pitcher	2	13.9	1	71.0	100.842	101.383	112.718	11.335
2	22102704	7	20	Lighter	2	0.5	1	100.0	113.219	114.750	126.604	11.854
2	22102704	8	3	Hand Soap	1	2.0	1	99.0	127.106	128.778	136.540	7.762
2	22102704	9	12	Small Coffee Machine	1	26.6	1	100.0	137.041	138.936	149.158	10.222
2	22102704	10	33	Large Coffee Machine	2	39.9	1	82.0	149.660	150.500	156.704	6.204
2	22102704	11	5	Candle	1	1.0	1	58.0	157.205	160.111	177.684	17.573
2	22102704	12	21	Spoon	2	7.4	1	83.0	178.185	178.950	190.179	11.229
2	22102704	13	2	Dry-Erase Marker	1	1.4	1	90.0	190.681	192.034	203.344	11.310
2	22102704	14	4	Umbrella	1	20.0	1	86.0	203.845	204.456	212.704	8.248
2	22102704	15	19	Pen	2	1.2	1	100.0	213.206	214.944	221.667	6.723
2	22102704	16	11	Wired Earphones	1	0.0	1	100.0	222.169	224.943	249.159	24.216
2	22102704	17	36	Kettle	2	6.8	1	71.0	249.661	251.028	257.924	6.896
2	22102704	18	9	Charging Box (Multi-Plug In)	1	8.9	1	57.0	258.425	261.241	280.803	19.562
2	22102704	19	22	Travel Pillow	2	7.4	1	88.0	281.305	283.260	293.571	10.312
2	22102704	20	30	Essential Oil Diffuser	2	2.8	1	100.0	294.073	296.819	301.195	4.376
2	22102704	21	10	Speaker	1	3.3	1	97.0	301.697	302.834	308.709	5.875
2	22102704	22	25	Water Bottle	2	1.4	1	100.0	309.210	311.425	317.905	6.481
2	22102704	23	29	Wireless Phone Charger	2	0.0	1	100.0	318.407	319.677	326.645	6.968
2	22102704	24	35	Underwater Camera	2	9.8	1	96.0	327.147	327.717	334.568	6.851
2	22102704	25	28	Digital Clock	2	4.2	1	90.0	335.069	335.762	345.141	9.379
2	22102704	26	15	Blender	1	9.0	1	97.0	345.643	346.504	356.534	10.030
2	22102704	27	18	Robotic Vacuum Cleaner	1	22.7	1	91.0	357.036	359.570	368.005	8.435
2	22102704	28	32	Digital Weight Scale	2	8.1	1	90.0	368.506	370.593	381.012	10.419
2	22102704	29	8	Bookbag	1	11.5	1	84.0	381.514	382.154	390.190	8.036
2	22102704	30	34	Watch	2	15.9	1	76.0	390.692	391.789	400.528	8.738
2	22102704	31	13	Head Thermometer	1	5.1	1	66.0	401.029	402.845	408.777	5.932
2	22102704	32	1	Toothpaste	1	4.0	1	65.0	409.279	410.246	419.743	9.497
2	22102704	33	24	Reusable Grocery Shopping Bag	2	0.0	1	100.0	420.244	421.535	427.799	6.264
2	22102704	34	16	Health Tracking Watch	1	14.3	1	41.0	428.301	430.600	438.348	7.748
2	22102704	35	26	Binoculars	2	18.5	1	87.0	438.850	440.929	449.158	8.229
2	22102704	36	27	Wallet	2	1.4	1	86.0	449.659	451.334	459.645	8.311
2	22102704	37	12	Small Coffee Machine	1	7.3	2	83.0	460.147	462.095	471.569	9.474
2	22102704	38	35	Underwater Camera	2	18.7	2	62.0	472.071	473.501	489.367	15.867
