Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
2	22071907	1	8	Bookbag	1	13.7	1	50.0	0.502	3.007	37.765	34.758
2	22071907	2	32	Digital Weight Scale	2	35.0	1	60.0	38.268	38.857	56.333	17.477
2	22071907	3	1	Toothpaste	1	3.0	1	NaN	56.835	59.422	75.549	16.127
2	22071907	4	10	Speaker	1	12.6	1	55.0	76.050	76.884	90.803	13.919
2	22071907	5	14	Frying Pan	1	7.5	1	55.0	91.305	92.199	111.358	19.159
2	22071907	6	11	Wired Earphones	1	8.0	1	NaN	111.860	113.098	127.626	14.528
2	22071907	7	33	Large Coffee Machine	2	26.3	1	55.0	128.128	130.212	144.811	14.600
2	22071907	8	29	Wireless Phone Charger	2	10.0	1	NaN	145.313	146.962	156.738	9.777
2	22071907	9	34	Watch	2	5.1	1	NaN	157.240	158.927	181.507	22.581
2	22071907	10	35	Underwater Camera	2	9.0	1	60.0	182.009	184.797	193.427	8.630
2	22071907	11	36	Kettle	2	24.7	1	60.0	193.929	195.828	204.208	8.379
2	22071907	12	3	Hand Soap	1	3.0	1	74.0	204.709	205.258	218.157	12.898
2	22071907	13	13	Head Thermometer	1	7.5	1	60.0	218.659	219.541	232.117	12.576
2	22071907	14	23	Ruler	2	1.5	1	81.0	232.619	233.622	239.485	5.863
2	22071907	15	25	Water Bottle	2	8.2	1	61.0	239.987	241.910	248.975	7.065
2	22071907	16	22	Travel Pillow	2	5.5	1	71.0	249.477	251.091	259.406	8.315
2	22071907	17	15	Blender	1	15.0	1	63.0	259.908	262.003	270.602	8.599
2	22071907	18	2	Dry-Erase Marker	1	2.5	1	66.0	271.104	273.474	285.638	12.164
2	22071907	19	24	Reusable Grocery Shopping Bag	2	9.1	1	60.0	286.140	287.302	293.478	6.175
2	22071907	20	17	Drone	1	9.5	1	61.0	293.980	295.734	316.270	20.536
2	22071907	21	19	Pen	2	2.1	1	58.0	316.772	318.008	337.640	19.632
2	22071907	22	31	Water Filter Pitcher	2	10.0	1	69.0	338.142	339.070	354.194	15.125
2	22071907	23	9	Charging Box (Multi-Plug In)	1	10.0	1	71.0	354.696	356.287	377.677	21.390
2	22071907	24	16	Health Tracking Watch	1	10.0	1	70.0	378.179	380.505	388.205	7.700
2	22071907	25	21	Spoon	2	0.6	1	96.0	388.707	390.098	399.425	9.327
2	22071907	26	20	Lighter	2	0.8	1	87.0	399.927	400.472	406.436	5.963
2	22071907	27	26	Binoculars	2	10.2	1	66.0	406.937	409.438	415.034	5.596
2	22071907	28	12	Small Coffee Machine	1	12.6	1	60.0	415.536	417.301	434.694	17.392
2	22071907	29	6	Notebook	1	3.0	1	76.0	435.196	438.188	443.757	5.568
2	22071907	30	30	Essential Oil Diffuser	2	5.2	1	60.0	444.258	446.586	454.041	7.455
2	22071907	31	5	Candle	1	2.4	1	59.0	454.543	455.355	461.603	6.247
2	22071907	32	18	Robotic Vacuum Cleaner	1	35.0	1	70.0	462.104	464.039	482.575	18.537
2	22071907	33	27	Wallet	2	1.9	1	73.0	483.077	485.306	490.707	5.401
2	22071907	34	4	Umbrella	1	2.7	1	66.0	491.209	492.766	497.754	4.988
2	22071907	35	7	Coffee Mug	1	1.9	1	73.0	498.256	498.874	505.175	6.301
2	22071907	36	28	Digital Clock	2	12.1	1	76.0	505.676	506.975	518.287	11.312
2	22071907	37	27	Wallet	2	1.9	2	72.0	518.789	520.088	525.615	5.527
2	22071907	38	24	Reusable Grocery Shopping Bag	2	9.6	2	65.0	526.117	527.471	534.958	7.487
2	22071907	39	1	Toothpaste	1	2.7	2	65.0	535.460	537.501	543.492	5.991
2	22071907	40	19	Pen	2	1.2	2	71.0	543.994	545.327	550.713	5.386
2	22071907	41	35	Underwater Camera	2	7.0	2	68.0	551.214	553.837	558.973	5.136
2	22071907	42	6	Notebook	1	3.0	2	65.0	559.475	561.803	574.114	12.311
2	22071907	43	3	Hand Soap	1	3.0	2	71.0	574.616	577.495	596.834	19.339
2	22071907	44	30	Essential Oil Diffuser	2	7.5	2	68.0	597.336	599.942	605.744	5.802
2	22071907	45	22	Travel Pillow	2	8.3	2	69.0	606.246	607.866	616.888	9.023
2	22071907	46	9	Charging Box (Multi-Plug In)	1	9.3	2	73.0	617.390	618.143	625.897	7.754
2	22071907	47	8	Bookbag	1	7.5	2	57.0	626.399	628.118	635.744	7.626
2	22071907	48	23	Ruler	2	1.0	2	71.0	636.246	639.097	646.298	7.202
2	22071907	49	2	Dry-Erase Marker	1	1.2	2	73.0	646.800	648.303	653.655	5.352
