Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
1	22102401	1	1	Toothpaste	1	7.0	1	75.0	0.495	2.256	46.850	44.594
1	22102401	2	27	Wallet	2	25.7	1	63.0	47.352	48.203	59.929	11.726
1	22102401	3	23	Ruler	2	10.1	1	54.0	60.431	61.907	74.901	12.993
1	22102401	4	34	Watch	2	41.0	1	62.0	75.402	77.723	89.014	11.291
1	22102401	5	13	Head Thermometer	1	23.4	1	74.0	89.516	91.774	104.151	12.377
1	22102401	6	10	Speaker	1	45.2	1	82.0	104.653	106.705	118.419	11.714
1	22102401	7	22	Travel Pillow	2	30.5	1	56.0	118.921	121.293	132.486	11.193
1	22102401	8	7	Coffee Mug	1	9.0	1	93.0	132.988	133.896	139.678	5.782
1	22102401	9	28	Digital Clock	2	28.0	1	79.0	140.180	142.909	153.634	10.725
1	22102401	10	16	Health Tracking Watch	1	58.7	1	66.0	154.136	154.668	161.146	6.479
1	22102401	11	29	Wireless Phone Charger	2	20.5	1	77.0	161.648	162.699	171.880	9.181
1	22102401	12	18	Robotic Vacuum Cleaner	1	40.5	1	73.0	172.382	172.939	179.839	6.900
1	22102401	13	2	Dry-Erase Marker	1	2.8	1	93.0	180.341	182.460	193.017	10.557
1	22102401	14	36	Kettle	2	29.1	1	81.0	193.519	195.443	201.004	5.562
1	22102401	15	21	Spoon	2	3.4	1	87.0	201.506	202.257	209.698	7.440
1	22102401	16	20	Lighter	2	2.0	1	96.0	210.200	212.540	218.334	5.794
1	22102401	17	6	Notebook	1	5.5	1	96.0	218.836	220.442	227.119	6.678
1	22102401	18	3	Hand Soap	1	7.2	1	84.0	227.621	229.452	236.835	7.382
1	22102401	19	8	Bookbag	1	20.0	1	91.0	237.336	237.839	249.876	12.036
1	22102401	20	19	Pen	2	3.4	1	81.0	250.377	253.296	259.760	6.465
1	22102401	21	17	Drone	1	71.3	1	68.0	260.262	262.100	270.748	8.648
1	22102401	22	24	Reusable Grocery Shopping Bag	2	0.2	1	93.0	271.250	272.773	282.496	9.723
1	22102401	23	4	Umbrella	1	18.9	1	68.0	282.998	284.081	289.612	5.530
1	22102401	24	32	Digital Weight Scale	2	39.8	1	77.0	290.113	292.034	299.805	7.771
1	22102401	25	9	Charging Box (Multi-Plug In)	1	23.3	1	73.0	300.307	302.991	309.588	6.597
1	22102401	26	31	Water Filter Pitcher	2	19.1	1	66.0	310.090	312.307	322.764	10.457
1	22102401	27	5	Candle	1	13.2	1	54.0	323.266	325.898	331.055	5.157
1	22102401	28	11	Wired Earphones	1	30.1	1	89.0	331.557	333.489	344.431	10.943
1	22102401	29	35	Underwater Camera	2	60.2	1	74.0	344.933	345.678	352.693	7.015
1	22102401	30	26	Binoculars	2	50.8	1	64.0	353.195	355.849	360.229	4.380
1	22102401	31	12	Small Coffee Machine	1	41.0	1	61.0	360.731	361.882	365.874	3.992
1	22102401	32	15	Blender	1	40.5	1	41.0	366.376	366.925	373.501	6.577
1	22102401	33	33	Large Coffee Machine	2	64.8	1	48.0	374.003	375.942	380.444	4.502
1	22102401	34	30	Essential Oil Diffuser	2	41.8	1	23.0	380.946	383.871	389.064	5.192
1	22102401	35	14	Frying Pan	1	20.6	1	70.0	389.566	392.513	397.398	4.885
1	22102401	36	25	Water Bottle	2	9.4	1	90.0	397.900	399.959	404.275	4.316
1	22102401	37	24	Reusable Grocery Shopping Bag	2	0.5	2	97.0	404.777	407.084	412.287	5.203
1	22102401	38	4	Umbrella	1	16.4	2	73.0	412.789	415.219	419.633	4.413
1	22102401	39	30	Essential Oil Diffuser	2	46.6	2	34.0	420.134	422.737	426.567	3.829
1	22102401	40	11	Wired Earphones	1	40.5	2	72.0	427.069	428.186	445.588	17.402
1	22102401	41	2	Dry-Erase Marker	1	3.2	2	93.0	446.090	448.944	456.740	7.797
1	22102401	42	27	Wallet	2	24.4	2	76.0	457.242	459.910	464.846	4.936
