Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
1	22072001	1	26	Binoculars	2	1.1	1	100.0	0.502	1.396	39.124	37.728
1	22072001	2	14	Frying Pan	1	0.0	1	100.0	39.626	42.099	51.921	9.823
1	22072001	3	1	Toothpaste	1	3.0	1	100.0	52.423	53.578	73.483	19.905
1	22072001	4	10	Speaker	1	0.0	1	100.0	73.985	74.987	86.321	11.335
1	22072001	5	16	Health Tracking Watch	1	0.0	1	100.0	86.823	88.954	97.050	8.096
1	22072001	6	19	Pen	2	0.2	1	100.0	97.552	98.489	107.101	8.612
1	22072001	7	21	Spoon	2	0.0	1	100.0	107.603	109.898	117.651	7.752
1	22072001	8	27	Wallet	2	0.0	1	100.0	118.152	119.747	127.869	8.122
1	22072001	9	15	Blender	1	0.0	1	100.0	128.370	131.106	140.032	8.926
1	22072001	10	3	Hand Soap	1	0.0	1	100.0	140.534	143.299	155.514	12.214
1	22072001	11	29	Wireless Phone Charger	2	0.0	1	100.0	156.015	158.210	167.909	9.699
1	22072001	12	11	Wired Earphones	1	10.1	1	100.0	168.411	170.273	185.450	15.178
1	22072001	13	13	Head Thermometer	1	0.0	1	100.0	185.952	186.806	196.012	9.206
1	22072001	14	22	Travel Pillow	2	0.0	1	100.0	196.514	198.651	206.440	7.790
1	22072001	15	4	Umbrella	1	0.0	1	100.0	206.942	209.435	216.747	7.312
1	22072001	16	9	Charging Box (Multi-Plug In)	1	0.0	1	100.0	217.249	219.267	231.058	11.791
1	22072001	17	34	Watch	2	0.0	1	100.0	231.560	232.984	247.766	14.782
1	22072001	18	36	Kettle	2	0.0	1	100.0	248.268	251.159	258.888	7.729
1	22072001	19	30	Essential Oil Diffuser	2	0.0	1	100.0	259.390	260.701	267.593	6.891
1	22072001	20	18	Robotic Vacuum Cleaner	1	0.0	1	100.0	268.095	269.863	277.358	7.495
1	22072001	21	17	Drone	1	0.0	1	100.0	277.859	280.656	287.845	7.189
1	22072001	22	25	Water Bottle	2	5.0	1	100.0	288.346	291.032	302.670	11.638
1	22072001	23	6	Notebook	1	0.0	1	100.0	303.172	305.689	310.729	5.040
1	22072001	24	33	Large Coffee Machine	2	0.0	1	100.0	311.231	314.110	319.797	5.687
1	22072001	25	8	Bookbag	1	5.0	1	100.0	320.299	322.991	336.843	13.852
1	22072001	26	24	Reusable Grocery Shopping Bag	2	0.0	1	100.0	337.345	339.695	346.084	6.388
1	22072001	27	35	Underwater Camera	2	0.0	1	100.0	346.585	347.808	354.746	6.938
1	22072001	28	20	Lighter	2	0.5	1	100.0	355.248	357.418	375.997	18.580
1	22072001	29	2	Dry-Erase Marker	1	0.0	1	100.0	376.499	378.912	386.156	7.243
1	22072001	30	32	Digital Weight Scale	2	0.0	1	100.0	386.657	389.391	397.202	7.811
1	22072001	31	12	Small Coffee Machine	1	0.0	1	100.0	397.704	398.701	404.425	5.724
1	22072001	32	31	Water Filter Pitcher	2	0.0	1	100.0	404.927	405.599	411.055	5.456
1	22072001	33	28	Digital Clock	2	0.0	1	100.0	411.557	414.126	420.006	5.880
1	22072001	34	23	Ruler	2	0.0	1	100.0	420.508	422.287	427.129	4.842
1	22072001	35	7	Coffee Mug	1	0.0	1	100.0	427.631	429.965	435.696	5.731
1	22072001	36	5	Candle	1	0.0	1	100.0	436.198	438.539	444.142	5.603
1	22072001	37	9	Charging Box (Multi-Plug In)	1	0.0	2	100.0	444.644	446.917	454.255	7.339
1	22072001	38	11	Wired Earphones	1	0.0	2	100.0	454.757	456.590	463.200	6.610
1	22072001	39	26	Binoculars	2	0.0	2	100.0	463.702	466.263	472.199	5.935
1	22072001	40	25	Water Bottle	2	3.5	2	100.0	472.700	475.128	489.611	14.483
1	22072001	41	12	Small Coffee Machine	1	0.0	2	100.0	490.113	492.374	500.596	8.221
1	22072001	42	5	Candle	1	0.1	2	100.0	501.098	503.155	509.241	6.085
1	22072001	43	31	Water Filter Pitcher	2	0.1	2	100.0	509.742	511.403	520.932	9.529
1	22072001	44	17	Drone	1	0.1	2	100.0	521.434	523.467	533.348	9.881
1	22072001	45	18	Robotic Vacuum Cleaner	1	0.4	2	100.0	533.850	536.708	546.999	10.291
1	22072001	46	35	Underwater Camera	2	0.2	2	100.0	547.501	548.743	557.675	8.932
1	22072001	47	36	Kettle	2	0.3	2	100.0	558.177	560.904	568.313	7.409
1	22072001	48	6	Notebook	1	0.1	2	100.0	568.815	569.937	575.864	5.927
1	22072001	49	13	Head Thermometer	1	0.3	2	100.0	576.366	577.715	589.962	12.247
1	22072001	50	27	Wallet	2	0.3	2	100.0	590.464	593.385	602.226	8.841
1	22072001	51	4	Umbrella	1	0.3	2	100.0	602.728	605.155	613.532	8.376
1	22072001	52	10	Speaker	1	1.0	2	100.0	614.033	616.588	627.113	10.524
1	22072001	53	33	Large Coffee Machine	2	0.4	2	100.0	627.615	628.371	634.124	5.754
1	22072001	54	23	Ruler	2	0.1	2	100.0	634.626	637.315	647.732	10.417
1	22072001	55	16	Health Tracking Watch	1	1.0	2	100.0	648.234	650.666	658.626	7.960
1	22072001	56	28	Digital Clock	2	0.3	2	100.0	659.128	659.709	666.829	7.120
1	22072001	57	29	Wireless Phone Charger	2	1.2	2	100.0	667.331	667.837	681.127	13.290
1	22072001	58	34	Watch	2	1.1	2	100.0	681.629	682.350	687.754	5.404
1	22072001	59	32	Digital Weight Scale	2	1.0	2	NaN	688.257	691.239	695.843	4.605
1	22072001	60	1	Toothpaste	1	2.1	2	100.0	696.345	699.097	711.422	12.326
1	22072001	61	21	Spoon	2	0.7	2	100.0	711.924	714.257	723.350	9.094
1	22072001	62	3	Hand Soap	1	1.2	2	100.0	723.852	725.306	733.357	8.051
1	22072001	63	14	Frying Pan	1	0.8	2	NaN	733.859	736.389	740.476	4.088
1	22072001	64	20	Lighter	2	0.5	2	100.0	740.978	742.943	755.035	12.093
1	22072001	65	30	Essential Oil Diffuser	2	0.6	2	100.0	755.537	756.588	762.656	6.068
1	22072001	66	22	Travel Pillow	2	0.8	2	NaN	763.158	765.184	769.661	4.477
1	22072001	67	8	Bookbag	1	1.5	2	100.0	770.163	771.086	777.741	6.655
1	22072001	68	2	Dry-Erase Marker	1	0.3	2	NaN	778.243	778.932	783.623	4.691
1	22072001	69	24	Reusable Grocery Shopping Bag	2	0.7	2	100.0	784.124	785.150	791.115	5.965
1	22072001	70	7	Coffee Mug	1	0.8	2	100.0	791.617	794.299	801.911	7.612
1	22072001	71	19	Pen	2	0.5	2	100.0	802.412	804.299	810.868	6.569
1	22072001	72	15	Blender	1	2.0	2	100.0	811.370	813.835	819.811	5.976
1	22072001	73	22	Travel Pillow	2	1.4	3	100.0	820.313	821.611	828.575	6.965
1	22072001	74	32	Digital Weight Scale	2	1.4	3	100.0	829.077	831.931	838.445	6.514
1	22072001	75	2	Dry-Erase Marker	1	0.9	3	100.0	838.947	841.493	848.821	7.328
1	22072001	76	23	Ruler	2	0.8	3	100.0	849.323	851.513	857.022	5.509
1	22072001	77	10	Speaker	1	0.6	3	NaN	857.523	858.339	863.940	5.601
1	22072001	78	9	Charging Box (Multi-Plug In)	1	0.9	3	99.0	864.442	865.111	873.955	8.844
1	22072001	79	18	Robotic Vacuum Cleaner	1	2.0	3	100.0	874.457	875.707	885.369	9.662
1	22072001	80	27	Wallet	2	1.0	3	100.0	885.870	888.243	896.185	7.942
1	22072001	81	31	Water Filter Pitcher	2	1.3	3	100.0	896.687	898.782	911.878	13.096
1	22072001	82	26	Binoculars	2	0.8	3	100.0	912.380	915.080	921.543	6.463
1	22072001	83	8	Bookbag	1	1.0	3	100.0	922.045	924.478	955.565	31.087
1	22072001	84	3	Hand Soap	1	1.3	3	100.0	956.067	958.245	964.801	6.557
1	22072001	85	13	Head Thermometer	1	1.2	3	100.0	965.303	966.430	977.162	10.732
1	22072001	86	36	Kettle	2	1.0	3	100.0	977.664	979.391	986.796	7.405
1	22072001	87	4	Umbrella	1	1.0	3	100.0	987.298	988.312	995.390	7.078
1	22072001	88	25	Water Bottle	2	1.3	3	100.0	995.892	996.788	1006.905	10.117
1	22072001	89	16	Health Tracking Watch	1	1.4	3	100.0	1007.407	1009.164	1017.412	8.248
1	22072001	90	34	Watch	2	1.4	3	100.0	1017.914	1018.846	1028.187	9.341
1	22072001	91	28	Digital Clock	2	1.9	3	100.0	1028.689	1030.036	1036.479	6.443
1	22072001	92	14	Frying Pan	1	1.3	3	100.0	1036.981	1039.141	1046.018	6.878
1	22072001	93	11	Wired Earphones	1	1.5	3	100.0	1046.520	1049.446	1056.031	6.584
1	22072001	94	5	Candle	1	0.4	3	100.0	1056.533	1059.027	1071.329	12.302
1	22072001	95	24	Reusable Grocery Shopping Bag	2	1.1	3	100.0	1071.831	1074.230	1084.586	10.355
1	22072001	96	15	Blender	1	2.3	3	100.0	1085.088	1088.021	1098.785	10.765
1	22072001	97	17	Drone	1	1.2	3	100.0	1099.287	1100.786	1107.932	7.146
1	22072001	98	21	Spoon	2	0.5	3	100.0	1108.434	1109.919	1115.381	5.462
