Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
1	22071804	1	15	Blender	1	40.8	1	83.0	0.503	2.971	99.803	96.831
1	22071804	2	9	Charging Box (Multi-Plug In)	1	12.6	1	76.0	100.304	103.013	124.423	21.410
1	22071804	3	25	Water Bottle	2	10.0	1	83.0	124.925	126.571	146.425	19.855
1	22071804	4	4	Umbrella	1	25.6	1	84.0	146.927	149.812	168.768	18.957
1	22071804	5	6	Notebook	1	4.1	1	84.0	169.270	170.562	187.711	17.149
1	22071804	6	21	Spoon	2	4.6	1	68.0	188.213	191.128	209.617	18.489
1	22071804	7	22	Travel Pillow	2	15.1	1	82.0	210.119	211.722	228.209	16.487
1	22071804	8	13	Head Thermometer	1	15.2	1	83.0	228.711	231.404	251.876	20.472
1	22071804	9	35	Underwater Camera	2	40.3	1	64.0	252.378	254.131	269.944	15.813
1	22071804	10	34	Watch	2	40.9	1	29.0	270.446	272.949	292.292	19.342
1	22071804	11	12	Small Coffee Machine	1	30.3	1	76.0	292.794	294.991	305.850	10.858
1	22071804	12	10	Speaker	1	25.5	1	88.0	306.351	309.062	326.446	17.385
1	22071804	13	17	Drone	1	49.8	1	54.0	326.948	327.638	346.763	19.125
1	22071804	14	30	Essential Oil Diffuser	2	20.4	1	53.0	347.265	349.443	368.358	18.915
1	22071804	15	1	Toothpaste	1	5.6	1	70.0	368.861	370.277	382.013	11.735
1	22071804	16	14	Frying Pan	1	20.4	1	80.0	382.514	383.685	398.463	14.778
1	22071804	17	28	Digital Clock	2	15.5	1	62.0	398.965	401.211	420.380	19.169
1	22071804	18	3	Hand Soap	1	5.1	1	86.0	420.881	423.652	435.636	11.984
1	22071804	19	24	Reusable Grocery Shopping Bag	2	1.1	1	86.0	436.138	437.821	454.870	17.049
1	22071804	20	7	Coffee Mug	1	5.0	1	85.0	455.371	456.619	473.232	16.613
1	22071804	21	8	Bookbag	1	25.0	1	83.0	473.734	474.280	489.300	15.021
1	22071804	22	27	Wallet	2	20.9	1	74.0	489.802	491.743	504.005	12.262
1	22071804	23	20	Lighter	2	2.0	1	88.0	504.507	505.444	521.806	16.362
1	22071804	24	26	Binoculars	2	30.4	1	74.0	522.308	523.175	531.113	7.938
1	22071804	25	5	Candle	1	6.1	1	61.0	531.615	534.054	546.126	12.073
1	22071804	26	32	Digital Weight Scale	2	40.1	1	69.0	546.628	547.303	561.952	14.649
1	22071804	27	31	Water Filter Pitcher	2	15.4	1	80.0	562.454	565.364	583.540	18.176
1	22071804	28	36	Kettle	2	19.1	1	87.0	584.042	586.542	604.056	17.514
1	22071804	29	19	Pen	2	8.3	1	63.0	604.558	607.384	627.717	20.333
1	22071804	30	16	Health Tracking Watch	1	60.8	1	72.0	628.219	630.888	647.550	16.663
1	22071804	31	2	Dry-Erase Marker	1	5.0	1	77.0	648.052	649.960	666.905	16.946
1	22071804	32	11	Wired Earphones	1	30.5	1	55.0	667.408	668.315	687.125	18.810
1	22071804	33	33	Large Coffee Machine	2	30.3	1	63.0	687.626	688.901	700.111	11.210
1	22071804	34	23	Ruler	2	3.0	1	67.0	700.613	701.297	711.760	10.463
1	22071804	35	29	Wireless Phone Charger	2	20.5	1	83.0	712.262	713.394	727.789	14.396
1	22071804	36	18	Robotic Vacuum Cleaner	1	85.2	1	81.0	728.291	730.223	743.905	13.682
1	22071804	37	16	Health Tracking Watch	1	40.7	2	80.0	744.407	745.146	762.231	17.085
1	22071804	38	30	Essential Oil Diffuser	2	16.5	2	61.0	762.733	763.846	771.680	7.834
1	22071804	39	4	Umbrella	1	19.2	2	66.0	772.182	774.349	786.378	12.029
1	22071804	40	27	Wallet	2	20.7	2	60.0	786.880	789.836	799.882	10.046
1	22071804	41	34	Watch	2	48.5	2	47.0	800.384	801.297	815.014	13.717
1	22071804	42	26	Binoculars	2	35.9	2	67.0	815.515	816.187	822.483	6.296
1	22071804	43	22	Travel Pillow	2	20.1	2	70.0	822.985	823.506	834.180	10.673
1	22071804	44	2	Dry-Erase Marker	1	4.0	2	75.0	834.682	836.073	843.967	7.895
1	22071804	45	25	Water Bottle	2	15.6	2	56.0	844.469	846.381	855.699	9.318
1	22071804	46	9	Charging Box (Multi-Plug In)	1	11.2	2	63.0	856.201	859.160	868.883	9.723
1	22071804	47	14	Frying Pan	1	20.9	2	53.0	869.384	871.794	880.272	8.477
1	22071804	48	29	Wireless Phone Charger	2	20.5	2	81.0	880.773	882.646	894.960	12.314
1	22071804	49	36	Kettle	2	20.0	2	66.0	895.462	897.118	905.964	8.846
1	22071804	50	8	Bookbag	1	31.7	2	76.0	906.465	907.082	922.714	15.632
1	22071804	51	13	Head Thermometer	1	17.7	2	79.0	923.216	925.595	945.582	19.987
1	22071804	52	6	Notebook	1	4.5	2	80.0	946.083	948.213	959.135	10.921
1	22071804	53	28	Digital Clock	2	15.1	2	68.0	959.637	960.341	971.153	10.812
1	22071804	54	35	Underwater Camera	2	40.1	2	50.0	971.655	972.849	978.187	5.338
1	22071804	55	20	Lighter	2	2.1	2	90.0	978.689	979.944	989.396	9.452
1	22071804	56	3	Hand Soap	1	5.0	2	85.0	989.897	991.039	1000.784	9.745
1	22071804	57	17	Drone	1	41.1	2	69.0	1001.286	1004.122	1011.223	7.100
1	22071804	58	15	Blender	1	30.0	2	74.0	1011.725	1013.152	1038.764	25.613
1	22071804	59	33	Large Coffee Machine	2	30.9	2	64.0	1039.266	1041.127	1052.687	11.560
1	22071804	60	24	Reusable Grocery Shopping Bag	2	1.0	2	89.0	1053.189	1053.941	1061.682	7.741
1	22071804	61	23	Ruler	2	3.7	2	71.0	1062.184	1063.516	1078.738	15.221
1	22071804	62	32	Digital Weight Scale	2	42.0	2	61.0	1079.240	1081.665	1089.027	7.362
1	22071804	63	10	Speaker	1	25.5	2	86.0	1089.529	1090.230	1105.426	15.196
1	22071804	64	1	Toothpaste	1	6.1	2	79.0	1105.928	1108.496	1120.706	12.211
1	22071804	65	11	Wired Earphones	1	29.3	2	66.0	1121.208	1124.075	1132.901	8.826
1	22071804	66	21	Spoon	2	5.2	2	57.0	1133.403	1136.221	1143.674	7.453
1	22071804	67	5	Candle	1	6.6	2	57.0	1144.176	1147.027	1152.470	5.443
1	22071804	68	18	Robotic Vacuum Cleaner	1	85.0	2	76.0	1152.972	1153.889	1165.357	11.468
1	22071804	69	12	Small Coffee Machine	1	33.4	2	69.0	1165.859	1167.707	1177.114	9.406
