Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
1	22102503	1	19	Pen	2	1.4	1	98.0	0.502	1.181	23.998	22.817
1	22102503	2	5	Candle	1	2.9	1	75.0	24.500	25.063	66.268	41.204
1	22102503	3	12	Small Coffee Machine	1	25.0	1	60.0	66.769	68.438	92.177	23.740
1	22102503	4	10	Speaker	1	28.0	1	90.0	92.679	95.608	109.680	14.072
1	22102503	5	9	Charging Box (Multi-Plug In)	1	26.0	1	84.0	110.182	112.754	143.594	30.839
1	22102503	6	36	Kettle	2	35.0	1	98.0	144.096	144.704	167.310	22.606
1	22102503	7	14	Frying Pan	1	18.0	1	71.0	167.812	169.669	191.726	22.057
1	22102503	8	18	Robotic Vacuum Cleaner	1	55.0	1	96.0	192.228	193.701	217.195	23.494
1	22102503	9	17	Drone	1	65.0	1	70.0	217.697	219.313	242.299	22.986
1	22102503	10	33	Large Coffee Machine	2	60.0	1	88.0	242.801	244.849	279.470	34.622
1	22102503	11	22	Travel Pillow	2	8.0	1	97.0	279.972	281.831	292.818	10.987
1	22102503	12	34	Watch	2	23.0	1	98.0	293.320	295.906	313.699	17.793
1	22102503	13	27	Wallet	2	24.0	1	91.0	314.201	316.113	334.134	18.022
1	22102503	14	30	Essential Oil Diffuser	2	25.0	1	87.0	334.636	337.335	351.136	13.801
1	22102503	15	11	Wired Earphones	1	15.0	1	80.0	351.638	354.426	389.318	34.892
1	22102503	16	16	Health Tracking Watch	1	55.0	1	90.0	389.820	392.330	420.657	28.328
1	22102503	17	35	Underwater Camera	2	18.0	1	75.0	421.159	422.473	443.433	20.960
1	22102503	18	24	Reusable Grocery Shopping Bag	2	1.0	1	97.0	443.935	445.346	457.399	12.053
1	22102503	19	15	Blender	1	60.1	1	90.0	457.900	459.228	478.193	18.966
1	22102503	20	4	Umbrella	1	8.0	1	93.0	478.695	480.579	492.043	11.465
1	22102503	21	26	Binoculars	2	14.0	1	92.0	492.545	495.391	514.893	19.502
1	22102503	22	7	Coffee Mug	1	2.0	1	98.0	515.395	517.345	525.516	8.170
1	22102503	23	13	Head Thermometer	1	12.0	1	91.0	526.018	527.917	552.340	24.423
1	22102503	24	28	Digital Clock	2	6.1	1	62.0	552.842	553.785	579.967	26.182
1	22102503	25	20	Lighter	2	1.2	1	99.0	580.469	582.938	596.841	13.903
1	22102503	26	21	Spoon	2	1.0	1	99.0	597.343	599.564	607.837	8.273
1	22102503	27	2	Dry-Erase Marker	1	1.5	1	98.0	608.339	610.004	618.974	8.970
1	22102503	28	32	Digital Weight Scale	2	36.1	1	93.0	619.476	622.059	637.645	15.585
1	22102503	29	23	Ruler	2	0.5	1	100.0	638.146	639.378	646.846	7.468
1	22102503	30	25	Water Bottle	2	14.5	1	94.0	647.348	648.046	670.425	22.380
1	22102503	31	3	Hand Soap	1	2.2	1	97.0	670.927	672.963	685.684	12.720
1	22102503	32	29	Wireless Phone Charger	2	28.0	1	88.0	686.185	687.065	696.861	9.796
1	22102503	33	8	Bookbag	1	20.0	1	98.0	697.363	699.529	706.985	7.456
1	22102503	34	1	Toothpaste	1	2.5	1	97.0	707.487	709.349	720.237	10.889
1	22102503	35	31	Water Filter Pitcher	2	30.5	1	96.0	720.739	722.180	745.070	22.890
1	22102503	36	6	Notebook	1	2.5	1	94.0	745.572	748.377	759.362	10.985
1	22102503	37	17	Drone	1	55.0	2	91.0	759.864	762.270	780.458	18.188
1	22102503	38	9	Charging Box (Multi-Plug In)	1	32.0	2	92.0	780.959	781.987	795.389	13.402
1	22102503	39	32	Digital Weight Scale	2	48.5	2	85.0	795.891	798.184	816.261	18.077
1	22102503	40	28	Digital Clock	2	5.1	2	90.0	816.763	819.184	827.912	8.728
1	22102503	41	3	Hand Soap	1	2.0	2	95.0	828.414	829.698	836.896	7.198
1	22102503	42	7	Coffee Mug	1	2.0	2	87.0	837.398	838.937	847.974	9.037
1	22102503	43	23	Ruler	2	0.5	2	100.0	848.476	849.169	854.894	5.724
