Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
1	22102404	1	26	Binoculars	2	3.3	1	82.0	0.502	1.897	12.382	10.485
1	22102404	2	10	Speaker	1	2.5	1	88.0	12.884	13.626	20.743	7.117
1	22102404	3	23	Ruler	2	0.0	1	100.0	21.245	22.164	29.078	6.914
1	22102404	4	24	Reusable Grocery Shopping Bag	2	0.5	1	69.0	29.580	31.811	42.431	10.620
1	22102404	5	28	Digital Clock	2	0.8	1	100.0	42.933	44.433	50.092	5.659
1	22102404	6	3	Hand Soap	1	0.4	1	97.0	50.594	53.456	59.734	6.279
1	22102404	7	27	Wallet	2	0.8	1	97.0	60.236	61.295	67.982	6.688
1	22102404	8	7	Coffee Mug	1	0.3	1	99.0	68.484	70.738	77.344	6.606
1	22102404	9	11	Wired Earphones	1	1.7	1	87.0	77.846	80.510	86.009	5.499
1	22102404	10	30	Essential Oil Diffuser	2	1.1	1	75.0	86.511	88.011	94.428	6.417
1	22102404	11	14	Frying Pan	1	2.3	1	90.0	94.930	96.991	101.289	4.299
1	22102404	12	21	Spoon	2	0.1	1	97.0	101.791	103.965	108.337	4.372
1	22102404	13	17	Drone	1	10.4	1	65.0	108.839	110.431	124.050	13.619
1	22102404	14	13	Head Thermometer	1	0.8	1	90.0	124.552	125.614	130.347	4.733
1	22102404	15	25	Water Bottle	2	0.9	1	87.0	130.850	131.933	136.128	4.195
1	22102404	16	1	Toothpaste	1	0.0	1	92.0	136.630	138.752	143.044	4.292
1	22102404	17	6	Notebook	1	0.1	1	96.0	143.547	146.150	151.264	5.114
1	22102404	18	9	Charging Box (Multi-Plug In)	1	1.0	1	96.0	151.766	153.062	161.521	8.460
1	22102404	19	31	Water Filter Pitcher	2	10.2	1	73.0	162.023	162.955	177.164	14.209
1	22102404	20	19	Pen	2	0.3	1	88.0	177.667	178.338	182.661	4.324
1	22102404	21	36	Kettle	2	0.4	1	67.0	183.163	184.614	190.101	5.486
1	22102404	22	34	Watch	2	0.9	1	96.0	190.603	193.099	198.081	4.982
1	22102404	23	12	Small Coffee Machine	1	0.2	1	98.0	198.583	199.774	204.916	5.141
1	22102404	24	8	Bookbag	1	0.1	1	96.0	205.417	206.848	210.257	3.409
1	22102404	25	16	Health Tracking Watch	1	0.4	1	95.0	210.759	211.913	216.598	4.685
1	22102404	26	18	Robotic Vacuum Cleaner	1	0.0	1	98.0	217.100	219.935	224.390	4.455
1	22102404	27	29	Wireless Phone Charger	2	4.6	1	93.0	224.892	227.509	235.393	7.884
1	22102404	28	4	Umbrella	1	1.2	1	91.0	235.895	238.639	242.883	4.244
1	22102404	29	22	Travel Pillow	2	0.3	1	98.0	243.384	245.536	248.992	3.456
