Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
1	22102409	1	18	Robotic Vacuum Cleaner	1	18.0	1	70.0	0.493	1.085	21.095	20.010
1	22102409	2	8	Bookbag	1	8.0	1	100.0	21.597	22.855	38.623	15.768
1	22102409	3	6	Notebook	1	1.0	1	100.0	39.125	41.789	54.088	12.299
1	22102409	4	4	Umbrella	1	5.0	1	99.0	54.590	56.685	70.942	14.257
1	22102409	5	5	Candle	1	0.5	1	99.0	71.444	72.348	82.733	10.385
1	22102409	6	36	Kettle	2	3.0	1	99.0	83.235	85.795	92.950	7.155
1	22102409	7	22	Travel Pillow	2	0.5	1	100.0	93.452	94.689	102.892	8.204
1	22102409	8	16	Health Tracking Watch	1	7.0	1	99.0	103.394	106.117	116.309	10.192
1	22102409	9	19	Pen	2	0.2	1	100.0	116.811	119.183	125.776	6.593
1	22102409	10	32	Digital Weight Scale	2	2.0	1	100.0	126.277	127.629	135.523	7.894
1	22102409	11	20	Lighter	2	0.5	1	100.0	136.025	136.791	144.242	7.451
1	22102409	12	31	Water Filter Pitcher	2	10.0	1	100.0	144.744	145.386	152.405	7.019
1	22102409	13	17	Drone	1	25.0	1	100.0	152.907	154.986	168.029	13.043
1	22102409	14	12	Small Coffee Machine	1	25.0	1	NaN	168.531	170.657	177.934	7.277
1	22102409	15	34	Watch	2	20.0	1	NaN	178.436	179.171	188.360	9.189
1	22102409	16	3	Hand Soap	1	1.0	1	100.0	188.862	191.732	201.682	9.950
1	22102409	17	27	Wallet	2	1.0	1	100.0	202.183	203.568	209.447	5.879
1	22102409	18	21	Spoon	2	0.1	1	100.0	209.949	210.721	215.163	4.442
1	22102409	19	30	Essential Oil Diffuser	2	5.1	1	100.0	215.665	217.305	222.326	5.021
1	22102409	20	2	Dry-Erase Marker	1	0.2	1	100.0	222.827	225.662	229.615	3.953
1	22102409	21	7	Coffee Mug	1	1.1	1	100.0	230.117	231.992	237.878	5.885
1	22102409	22	28	Digital Clock	2	3.0	1	100.0	238.379	239.118	245.265	6.148
1	22102409	23	33	Large Coffee Machine	2	27.1	1	100.0	245.767	248.341	254.544	6.203
1	22102409	24	13	Head Thermometer	1	3.1	1	100.0	255.045	255.864	263.222	7.357
1	22102409	25	14	Frying Pan	1	5.0	1	100.0	263.724	264.512	274.128	9.616
1	22102409	26	15	Blender	1	25.0	1	100.0	274.630	276.456	293.288	16.832
1	22102409	27	11	Wired Earphones	1	3.9	1	100.0	293.790	296.608	303.457	6.848
1	22102409	28	9	Charging Box (Multi-Plug In)	1	2.6	1	100.0	303.959	306.740	313.621	6.881
1	22102409	29	1	Toothpaste	1	1.0	1	100.0	314.123	316.338	325.069	8.731
1	22102409	30	25	Water Bottle	2	1.4	1	100.0	325.571	326.897	332.351	5.454
1	22102409	31	26	Binoculars	2	4.7	1	90.0	332.853	335.572	342.503	6.931
1	22102409	32	24	Reusable Grocery Shopping Bag	2	0.1	1	100.0	343.005	344.875	352.460	7.586
1	22102409	33	29	Wireless Phone Charger	2	4.7	1	98.0	352.962	355.279	363.922	8.643
1	22102409	34	35	Underwater Camera	2	35.0	1	100.0	364.424	367.000	376.944	9.943
1	22102409	35	10	Speaker	1	25.2	1	100.0	377.445	378.891	386.106	7.215
1	22102409	36	23	Ruler	2	0.6	1	100.0	386.608	387.605	392.476	4.871
1	22102409	37	13	Head Thermometer	1	3.6	2	98.0	392.978	395.070	399.601	4.531
1	22102409	38	36	Kettle	2	1.1	2	100.0	400.103	402.692	407.252	4.559
