Group	subID	trial	item	itemname	patch	bid	bid_times	certainty	fixation_time	bid_start_time	bid_finish_time	RT
1	22102408	1	15	Blender	1	0.0	1	100.0	0.493	1.973	19.039	17.066
1	22102408	2	4	Umbrella	1	5.0	1	96.0	19.556	22.090	49.338	27.249
1	22102408	3	28	Digital Clock	2	0.0	1	100.0	49.855	52.856	62.849	9.993
1	22102408	4	7	Coffee Mug	1	0.0	1	100.0	63.366	64.966	76.317	11.351
1	22102408	5	1	Toothpaste	1	0.0	1	100.0	76.834	77.434	85.046	7.612
1	22102408	6	5	Candle	1	0.0	1	100.0	85.563	88.047	97.877	9.830
1	22102408	7	16	Health Tracking Watch	1	0.0	1	80.0	98.394	100.793	121.274	20.480
1	22102408	8	10	Speaker	1	0.0	1	100.0	121.791	123.274	131.033	7.759
1	22102408	9	17	Drone	1	5.0	1	100.0	131.550	134.551	158.050	23.499
1	22102408	10	29	Wireless Phone Charger	2	2.5	1	100.0	158.567	159.717	170.879	11.162
1	22102408	11	8	Bookbag	1	0.0	1	100.0	171.395	172.529	191.450	18.921
1	22102408	12	34	Watch	2	0.0	1	100.0	191.967	194.700	201.712	7.012
1	22102408	13	30	Essential Oil Diffuser	2	0.0	1	100.0	202.229	202.912	210.085	7.173
1	22102408	14	21	Spoon	2	0.0	1	100.0	210.602	212.919	229.655	16.737
1	22102408	15	23	Ruler	2	0.0	1	100.0	230.172	230.939	242.085	11.146
1	22102408	16	24	Reusable Grocery Shopping Bag	2	1.0	1	100.0	242.602	244.852	256.148	11.296
1	22102408	17	14	Frying Pan	1	1.0	1	100.0	256.665	258.866	271.616	12.750
1	22102408	18	22	Travel Pillow	2	0.0	1	100.0	272.133	274.433	313.720	39.287
1	22102408	19	12	Small Coffee Machine	1	0.0	1	100.0	314.237	314.903	330.395	15.491
1	22102408	20	26	Binoculars	2	5.0	1	100.0	330.911	332.345	346.251	13.906
1	22102408	21	9	Charging Box (Multi-Plug In)	1	1.0	1	100.0	346.768	349.101	377.582	28.480
1	22102408	22	19	Pen	2	0.0	1	100.0	378.098	379.099	393.341	14.242
1	22102408	23	25	Water Bottle	2	0.0	1	100.0	393.857	396.525	413.120	16.596
1	22102408	24	35	Underwater Camera	2	0.0	1	100.0	413.637	416.321	422.763	6.443
1	22102408	25	36	Kettle	2	0.0	1	100.0	423.280	425.614	446.760	21.146
1	22102408	26	32	Digital Weight Scale	2	0.0	1	100.0	447.277	447.811	457.142	9.331
1	22102408	27	3	Hand Soap	1	0.0	1	100.0	457.659	459.325	467.719	8.393
1	22102408	28	33	Large Coffee Machine	2	0.0	1	100.0	468.235	469.419	489.814	20.396
1	22102408	29	31	Water Filter Pitcher	2	1.0	1	100.0	490.332	492.998	504.077	11.079
1	22102408	30	20	Lighter	2	0.0	1	100.0	504.594	505.594	510.950	5.357
1	22102408	31	27	Wallet	2	0.0	1	100.0	511.467	514.001	518.807	4.807
1	22102408	32	13	Head Thermometer	1	5.0	1	100.0	519.325	520.925	529.353	8.428
1	22102408	33	6	Notebook	1	0.0	1	100.0	529.870	530.820	535.376	4.556
1	22102408	34	18	Robotic Vacuum Cleaner	1	10.0	1	100.0	535.893	538.609	569.377	30.767
1	22102408	35	2	Dry-Erase Marker	1	0.0	1	100.0	569.893	571.061	575.298	4.238
1	22102408	36	11	Wired Earphones	1	0.0	1	100.0	575.815	576.599	593.751	17.152
1	22102408	37	27	Wallet	2	0.0	2	100.0	594.267	595.151	600.810	5.659
1	22102408	38	22	Travel Pillow	2	0.0	2	100.0	601.326	604.260	609.233	4.973
1	22102408	39	3	Hand Soap	1	0.0	2	100.0	609.750	612.534	616.738	4.205
1	22102408	40	4	Umbrella	1	0.0	2	100.0	617.255	618.839	622.979	4.141
1	22102408	41	13	Head Thermometer	1	5.0	2	100.0	623.496	624.012	643.816	19.804
1	22102408	42	5	Candle	1	0.0	2	100.0	644.333	645.116	649.208	4.092
1	22102408	43	11	Wired Earphones	1	0.3	2	100.0	649.725	650.642	657.036	6.394
1	22102408	44	6	Notebook	1	0.0	2	100.0	657.553	659.903	666.329	6.426
1	22102408	45	12	Small Coffee Machine	1	0.0	2	100.0	666.846	668.512	673.370	4.857
1	22102408	46	31	Water Filter Pitcher	2	0.9	2	98.0	673.887	676.153	691.738	15.584
1	22102408	47	24	Reusable Grocery Shopping Bag	2	0.9	2	96.0	692.255	694.272	703.683	9.411
1	22102408	48	7	Coffee Mug	1	0.0	2	100.0	704.200	705.250	709.221	3.971
1	22102408	49	33	Large Coffee Machine	2	0.0	2	100.0	709.738	712.422	717.413	4.992
1	22102408	50	17	Drone	1	5.0	2	100.0	717.931	718.831	734.868	16.037
1	22102408	51	35	Underwater Camera	2	0.0	2	100.0	735.384	737.551	742.958	5.406
1	22102408	52	8	Bookbag	1	0.0	2	100.0	743.474	745.875	749.964	4.088
1	22102408	53	19	Pen	2	0.0	2	100.0	750.481	752.514	757.436	4.923
1	22102408	54	16	Health Tracking Watch	1	0.0	2	100.0	757.953	760.370	768.562	8.192
1	22102408	55	30	Essential Oil Diffuser	2	0.0	2	100.0	769.079	771.896	777.286	5.390
1	22102408	56	20	Lighter	2	0.0	2	100.0	777.803	780.153	785.075	4.922
1	22102408	57	14	Frying Pan	1	4.7	2	95.0	785.592	786.209	800.525	14.316
1	22102408	58	2	Dry-Erase Marker	1	0.0	2	100.0	801.042	803.509	807.898	4.389
1	22102408	59	18	Robotic Vacuum Cleaner	1	10.0	2	100.0	808.415	811.265	821.893	10.628
1	22102408	60	32	Digital Weight Scale	2	0.0	2	100.0	822.410	822.960	827.815	4.854
1	22102408	61	15	Blender	1	0.0	2	100.0	828.332	829.798	837.076	7.277
1	22102408	62	36	Kettle	2	0.0	2	100.0	837.593	839.477	844.433	4.956
1	22102408	63	23	Ruler	2	0.0	2	100.0	844.950	847.900	860.632	12.732
1	22102408	64	29	Wireless Phone Charger	2	2.1	2	93.0	861.149	863.683	882.561	18.878
